Document Title,Authors,Publication Title,Publication Year,Volume,Issue,Start Page,End Page,ISBNs,DOI,Author Keywords,Publisher
Access-Time Minimization for the IJTAG Network Using Data Broadcast and Hardware Parallelism,Z. Zhong; G. Li; Q. Yang; K. Chakrabarty,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2021,40,1,185,198,,10.1109/TCAD.2020.2990832,Broadcast;hybridcast;IEEE 1687;IJTAG;supercast;test scheduling,IEEE
Contour: A Process Variation Aware Wear-Leveling Mechanism for Inodes of Persistent Memory File Systems,X. Chen; E. H. . -M. Sha; X. Wang; C. Yang; W. Jiang; Q. Zhuge,IEEE Transactions on Computers,2021,70,7,1034,1045,,10.1109/TC.2020.3002537,Persistent memory file system;wear leveling;process variation;persistent memory;metadata management,IEEE
Relation Graph Network for 3D Object Detection in Point Clouds,M. Feng; S. Z. Gilani; Y. Wang; L. Zhang; A. Mian,IEEE Transactions on Image Processing,2021,30,,92,107,,10.1109/TIP.2020.3031371,3D object detection;point cloud;deep learning,IEEE
Attention-Based Video Hashing for Large-Scale Video Retrieval,Y. Wang; X. Nie; Y. Shi; X. Zhou; Y. Yin,IEEE Transactions on Cognitive and Developmental Systems,2021,13,3,491,502,,10.1109/TCDS.2019.2963339,Deep learning;hashing;video hashing;video retrieval,IEEE
TiQSA: Workload Minimization in Convolutional Neural Networks Using Tile Quantization and Symmetry Approximation,D. Sabir; M. A. Hanif; A. Hassan; S. Rehman; M. Shafique,IEEE Access,2021,9,,53647,53668,,10.1109/ACCESS.2021.3069906,Convolutional neural network;reduced workload;winograd transform;particle of swarm convolution layer optimization;symmetry approximation;tile quantization approximation;DNN;CNN,IEEE
Domain Adaptation With Neural Embedding Matching,Z. Wang; B. Du; Y. Guo,IEEE Transactions on Neural Networks and Learning Systems,2020,31,7,2387,2397,,10.1109/TNNLS.2019.2935608,Distribution matching;domain adaptation;neural embedding;progressive learning;semisupervised learning,IEEE
Multiband Remote Sensing Image Pansharpening Based on Dual-Injection Model,Y. Yang; L. Wu; S. Huang; W. Wan; W. Tu; H. Lu,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2020,13,,1888,1904,,10.1109/JSTARS.2020.2981975,Dual-injection model;injection gains;pansharpening;sparse representation (SR),IEEE
Neural-Network-Based Control for Discrete-Time Nonlinear Systems with Input Saturation Under Stochastic Communication Protocol,X. Wang; D. Ding; H. Dong; X. -M. Zhang,IEEE/CAA Journal of Automatica Sinica,2021,8,4,766,778,,10.1109/JAS.2021.1003922,Adaptive dynamic programming (ADP);constrained inputs;neural network (NN);stochastic communication protocols (SCPs);suboptimal control,IEEE
Weighted Nonlocal Low-Rank Tensor Decomposition Method for Sparse Unmixing of Hyperspectral Images,L. Sun; F. Wu; T. Zhan; W. Liu; J. Wang; B. Jeon,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2020,13,,1174,1188,,10.1109/JSTARS.2020.2980576,Low-rank;nonlocal similarity;sparse unmixing;tensor decomposition,IEEE
A Real-Time Framework for Matching Prosumers With Minimum Risk in the Cluster of Microgrids,Y. Ryu; H. Lee,IEEE Transactions on Smart Grid,2020,11,4,2832,2844,,10.1109/TSG.2020.2968338,Microgrids;renewable energy source;LSTM-MDN;real-time power management;energy portfolio,IEEE
Fast DST-VII/DCT-VIII With Dual Implementation Support for Versatile Video Coding,Z. Zhang; X. Zhao; X. Li; L. Li; Y. Luo; S. Liu; Z. Li,IEEE Transactions on Circuits and Systems for Video Technology,2021,31,1,355,371,,10.1109/TCSVT.2020.2977118,Versatile video coding (VVC);fast DST-VII/DCT-VIII;multiple transform selection (MTS);Enhanced multiple transform (EMT);adaptive multiple transform(AMT);VVC test model (VTM),IEEE
Near-Optimal Robust Virtual Controller Placement in 5G Software Defined Networks,E. Tohidi; S. Parsaeefard; M. A. Maddah-Ali; B. H. Khalaj; A. Leon-Garcia,IEEE Transactions on Network Science and Engineering,2021,8,2,1687,1697,,10.1109/TNSE.2021.3068975,5G;robustness;submodularity;VSDN controller placement,IEEE
Contactless Small-Scale Movement Monitoring System Using Software Defined Radio for Early Diagnosis of COVID-19,M. Rehman; R. A. Shah; M. B. Khan; N. A. A. Ali; A. A. Alotaibi; T. Althobaiti; N. Ramzan; S. A. Shah; X. Yang; A. Alomainy; M. A. Imran; Q. H. Abbasi,IEEE Sensors Journal,2021,21,15,17180,17188,,10.1109/JSEN.2021.3077530,CFR;COVID-19;OFDM;SDR;USRP;breathing rate measurement,IEEE
"CARPool: fast, accurate computation of large-scale structure statistics by pairing costly and cheap cosmological simulations",N. Chartier; B. Wandelt; Y. Akrami; F. Villaescusa-Navarro,Monthly Notices of the Royal Astronomical Society,2021,503,2,1897,1914,,10.1093/mnras/stab430,methods: statistical;cosmology: large-scale structure of Universe;software: simulations,OUP
Security Orchestration and Enforcement in NFV/SDN-Aware UAV Deployments,A. Hermosilla; A. M. Zarca; J. B. Bernabe; J. Ortiz; A. Skarmeta,IEEE Access,2020,8,,131779,131795,,10.1109/ACCESS.2020.3010209,IoT;cybersecurity;SDN/NFV;architecture,IEEE
Predictive Switch-Controller Association and Control Devolution for SDN Systems,X. Huang; S. Bian; Z. Shao; H. Xu,IEEE/ACM Transactions on Networking,2020,28,6,2783,2796,,10.1109/TNET.2020.3021787,SDN;switch-controller association;control devolution;predictive scheduling,IEEE
FTrack: Parallel Decoding for LoRa Transmissions,X. Xia; Y. Zheng; T. Gu,IEEE/ACM Transactions on Networking,2020,28,6,2573,2586,,10.1109/TNET.2020.3018020,Internet of Things;LoRaWAN;collision resolving;parallel decoding,IEEE
DIAVA: A Traffic-Based Framework for Detection of SQL Injection Attacks and Vulnerability Analysis of Leaked Data,H. Gu; J. Zhang; T. Liu; M. Hu; J. Zhou; T. Wei; M. Chen,IEEE Transactions on Reliability,2020,69,1,188,202,,10.1109/TR.2019.2925415,GPU;network traffic;regular expression;SQL injection attack;web application firewall,IEEE
CPU-Accelerator Co-Scheduling for CNN Acceleration at the Edge,Y. Kim; J. Kong; A. Munir,IEEE Access,2020,8,,211422,211433,,10.1109/ACCESS.2020.3039278,Convolutional neural networks;resource-constrained edge devices;co-scheduling;latency model;load balancing,IEEE
Aloe: Fault-Tolerant Network Management and Orchestration Framework for IoT Applications,S. Chattopadhyay; S. Chatterjee; S. Nandi; S. Chakraborty,IEEE Transactions on Network and Service Management,2020,17,4,2396,2409,,10.1109/TNSM.2020.3008426,Orchestration framework;fault-tolerance;programmable network;IoT;in-network processing;SDN,IEEE
Using Blockchain in a Reputation-Based Model for Grouping Agents in the Internet of Things,G. Fortino; F. Messina; D. Rosaci; G. M. L. Sarné,IEEE Transactions on Engineering Management,2020,67,4,1231,1243,,10.1109/TEM.2019.2918162,Blockchain;group formation;Internet of Things (IoT) device;multiagent system;reputation capital,IEEE
Collusion-Resistant Jamming for Securing Legacy Clients in Wireless Networks,D. Xie; W. Mao; A. Tang; X. Wang,IEEE Transactions on Mobile Computing,2020,19,10,2264,2277,,10.1109/TMC.2019.2927478,PHY layer security;artificial jamming;collusion,IEEE
P-SCOR: Integration of Constraint Programming Orchestration and Programmable Data Plane,A. Melis; S. Layeghy; D. Berardi; M. Portmann; M. Prandini; F. Callegati,IEEE Transactions on Network and Service Management,2021,18,1,402,414,,10.1109/TNSM.2020.3048277,SDN;constraint programming;P4;programmable data plane;security,IEEE
5G Applications From Vision to Reality: Multi-Operator Orchestration,B. Sonkoly; R. Szabó; B. Németh; J. Czentye; D. Haja; M. Szalay; J. Dóka; B. P. Gerő; D. Jocha; L. Toka,IEEE Journal on Selected Areas in Communications,2020,38,7,1401,1416,,10.1109/JSAC.2020.2999684,NFV;SDN;resource orchestration;5G,IEEE
Manipulative Attack Against Physical Layer Key Agreement and Countermeasure,R. Jin; K. Zeng,IEEE Transactions on Dependable and Secure Computing,2021,18,1,475,489,,10.1109/TDSC.2019.2895325,Physical layer key agreement;active attack;manipulative attack;countermeasure,IEEE
FPGA Accelerator for Real-Time Emulation of Power Electronic Systems Using Multiport Decomposition,M. K. Namboothiripad; M. J. Datar; M. C. Chandorkar; S. B. Patkar,IEEE Transactions on Industry Applications,2020,56,6,6674,6686,,10.1109/TIA.2020.3024347,Field programmable gate arrays;high-level-synthesis (HLS);MATLAB;multilevel converters;multiport-decomposition;proportional-integral-derivative controller;Python software;real-time systems;sinusoidal pulsewidth modulation (PWM);variable frequency drive,IEEE
Integrating LSM Trees With Multichip Flash Translation Layer for Write-Efficient KVSSDs,S. -M. Wu; K. -H. Lin; L. -P. Chang,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2021,40,1,87,100,,10.1109/TCAD.2020.2987781,Flash memory;key-value (KV) store;log-structured-merge (LSM) tree;solid-state drive (SSD),IEEE
ETSI-Standard Reconfigurable Mobile Device With an Opportunistic Multi-Antenna System Based on Radio and Non-Radio Contexts,H. Ahn; D. Kim; S. Choi; M. Mueck; V. Ivanov,IEEE Access,2020,8,,106940,106957,,10.1109/ACCESS.2020.3000769,Context information;ETSI standard;multi-antenna system;software reconfiguration,IEEE
Delay-Sensitive Multi-Source Multicast Resource Optimization in NFV-Enabled Networks: A Column Generation Approach,A. Muhammad; I. Sorkhoh; L. Qu; C. Assi,IEEE Transactions on Network and Service Management,2021,18,1,286,300,,10.1109/TNSM.2021.3049718,NFV;delay;multicast;resource optimization,IEEE
Energy-Efficient Heterogeneous Networking for Electric Vehicles Networks in Smart Future Cities,D. Jiang; L. Huo; P. Zhang; Z. Lv,IEEE Transactions on Intelligent Transportation Systems,2021,22,3,1868,1880,,10.1109/TITS.2020.3029015,Heterogeneous networking;electric vehicles networks;energy efficiency;cloud computing for electric vehicles connected;smart cities,IEEE
Immersive Virtual Reality Attacks and the Human Joystick,P. Casey; I. Baggili; A. Yarramreddy,IEEE Transactions on Dependable and Secure Computing,2021,18,2,550,562,,10.1109/TDSC.2019.2907942,Computer security;human computer interaction;privacy-invasive software;virtual reality,IEEE
A Method for Identifying Flaws on Product Surface Based on Spatial Connectivity Domain,Q. Zhang; Y. Feng; B. -H. Qiang; Y. Li; Q. Kou,IEEE Access,2021,9,,121146,121153,,10.1109/ACCESS.2021.3107530,Connectivity domain;feature;image;auto parts;flaw,IEEE
Anomaly-Aware Network Traffic Estimation via Outlier-Robust Tensor Completion,Q. Wang; L. Chen; Q. Wang; H. Zhu; X. Wang,IEEE Transactions on Network and Service Management,2020,17,4,2677,2689,,10.1109/TNSM.2020.3024932,Network traffic estimation;network anomaly detection;low-rank tensor factorization;alternating minimization,IEEE
Optimized Global Maximum Power Point Tracking of Photovoltaic Systems Based on Rectangular Power Comparison,P. Bharadwaj; V. John,IEEE Access,2021,9,,53602,53616,,10.1109/ACCESS.2021.3071136,Efficiency optimization;global maximum power point tracking;partial shading;photovoltaic module measurements;solar energy conversion,IEEE
Challenges in Detecting an “Evasive Spectre”,C. Li; J. Gaudiot,IEEE Computer Architecture Letters,2020,19,1,18,21,,10.1109/LCA.2020.2976069,Evasive malware;microarchitectural attacks;security,IEEE
Towards A Personal Mobile Cloud via Generic Device Interconnections,Y. Li; W. Gao,IEEE Transactions on Mobile Computing,2020,19,12,2965,2980,,10.1109/TMC.2019.2922289,Personal mobile cloud;device interconnection;resource sharing;OS services,IEEE
A Suitable AST Node Granularity and Multi-Kernel Transfer Convolutional Neural Network for Cross-Project Defect Prediction,J. Deng; L. Lu; S. Qiu; Y. Ou,IEEE Access,2020,8,,66647,66661,,10.1109/ACCESS.2020.2985780,Abstract syntax tree;cross-project defect prediction;maximum mean discrepancy;multi-kernel;transfer learning,IEEE
SARA: Secure Asynchronous Remote Attestation for IoT Systems,E. Dushku; M. M. Rabbani; M. Conti; L. V. Mancini; S. Ranise,IEEE Transactions on Information Forensics and Security,2020,15,,3123,3136,,10.1109/TIFS.2020.2983282,Internet of Things (IoT) security;remote attestation;asynchronous communication;publish/subscribe;distributed IoT services,IEEE
Iotverif: Automatic Verification of SSL/TLS Certificate for IoT Applications,A. Liu; A. Alqazzaz; H. Ming; B. Dharmalingam,IEEE Access,2021,9,,27038,27050,,10.1109/ACCESS.2019.2961918,Certificate;Internet of Things (IoT);model checking;protocol verification;secure socket layer (SSL);transport layer security (TLS),IEEE
A Machine Learning Security Framework for Iot Systems,M. Bagaa; T. Taleb; J. B. Bernabe; A. Skarmeta,IEEE Access,2020,8,,114066,114077,,10.1109/ACCESS.2020.2996214,Internet of Things;security;artificial intelligence;SDN;NFV;orchestration and MANO,IEEE
Transformations of High-Level Synthesis Codes for High-Performance Computing,J. de Fine Licht; M. Besta; S. Meierhans; T. Hoefler,IEEE Transactions on Parallel and Distributed Systems,2021,32,5,1014,1029,,10.1109/TPDS.2020.3039409,Parallel architectures;parallel programming;high performance computing,IEEE
A Hybrid Reversible Data Hiding for Multiple Images With High Embedding Capacity,X. Xie; C. Chang; C. Lin,IEEE Access,2020,8,,37,52,,10.1109/ACCESS.2019.2961764,Reversible data hiding (RDH);multi-steganographic images;pixel value ordering (PVO);prediction error histogram shifting (PEHS);high capacity,IEEE
Application-Driven Network-Aware Digital Twin Management in Industrial Edge Environments,P. Bellavista; C. Giannelli; M. Mamei; M. Mendula; M. Picone,IEEE Transactions on Industrial Informatics,2021,17,11,7791,7801,,10.1109/TII.2021.3067447,Application-driven management;digital twin (DT);edge computing;industrial IoT;software defined networking (SDN),IEEE
Enhancing the Performance of Flow Classification in SDN-Based Intelligent Vehicular Networks,M. Abbasi; H. Rezaei; V. G. Menon; L. Qi; M. R. Khosravi,IEEE Transactions on Intelligent Transportation Systems,2021,22,7,4141,4150,,10.1109/TITS.2020.3014044,Intelligent vehicular network;flow classification;KD-tree algorithm;leaf-pushing;performance;software-defined-networking (SDN),IEEE
Experimental Assessment of Automatic Optical Metro Edge Computing Network for Beyond 5G Applications and Network Service Composition,B. Pan; F. Yan; X. Guo; N. Calabretta,Journal of Lightwave Technology,2021,39,10,3004,3010,,10.1109/JLT.2021.3064800,Network automation;network function virtualization;optical metropolitan area networks;software defined networking,IEEE
Design and Implementation of SSD-Assisted Backup and Recovery for Database Systems,Y. Son; M. Kim; S. Kim; H. Y. Yeom; N. S. Kim; H. Han,IEEE Transactions on Knowledge and Data Engineering,2020,32,2,260,274,,10.1109/TKDE.2018.2884466,Solid state drives;database systems;backup and recovery;replication;redundant array of independent disks,IEEE
Learn to Threshold: ThresholdNet With Confidence-Guided Manifold Mixup for Polyp Segmentation,X. Guo; C. Yang; Y. Liu; Y. Yuan,IEEE Transactions on Medical Imaging,2021,40,4,1134,1146,,10.1109/TMI.2020.3046843,Polyp segmentation;CGMMix data augmentation;consistency regularization;ThresholdNet;TMSG module,IEEE
Design and Usability Assessment of a Multi-Device SOA-Based Telecare Framework for the Elderly,S. Macis; D. Loi; A. Ulgheri; D. Pani; G. Solinas; S. L. Manna; V. Cestone; D. Guerri; L. Raffo,IEEE Journal of Biomedical and Health Informatics,2020,24,1,268,279,,10.1109/JBHI.2019.2894552,Telemonitoring;interoperability;Bluetooth;Android;m-health;elderly,IEEE
Facetto: Combining Unsupervised and Supervised Learning for Hierarchical Phenotype Analysis in Multi-Channel Image Data,R. Krueger; J. Beyer; W. -D. Jang; N. W. Kim; A. Sokolov; P. K. Sorger; H. Pfister,IEEE Transactions on Visualization and Computer Graphics,2020,26,1,227,237,,10.1109/TVCG.2019.2934547,Clustering;Classification;Visual Analysis;Multiplex Tissue Imaging;Digital Pathology;Cancer Systems Biology,IEEE
EEG Compression Using Motion Compensated Temporal Filtering and Wavelet Based Subband Coding,B. Khalid; M. Majid; I. F. Nizami; S. M. Anwar; M. Alnowami,IEEE Access,2020,8,,102502,102511,,10.1109/ACCESS.2020.2999091,Electroencephalography (EEG);compression;motion compensated temporal filtering (MCTF);set partitioning in hierarchical tress (SPIHT);discrete wavelet transform,IEEE
A Compact Wideband Millimeter-Wave Quadrature Hybrid Coupler Using Artificial Transmission Lines on a Glass Substrate,J. -G. Chi; Y. -J. Kim,IEEE Microwave and Wireless Components Letters,2020,30,11,1037,1040,,10.1109/LMWC.2020.3027921,Artificial transmission line;compact coupler;glass substrate;millimeter-wave (mm-wave);quadrature hybrid coupler,IEEE
